UniqueID,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,age,Employment.Type,DaysSincedisbursal,State_ID,Employee_code_ID,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,PRIMARY.INSTAL.AMT,SEC.INSTAL.AMT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,NO.OF_INQUIRIES,loan_default
593428,48349,67269,73.73,67,17901,45,20,,559,6,867,783,B-Very Low Risk,3,1,0,0,13000,13000,999,0,0,0,0,1
476510,63647,88000,73.86,248,20675,86,20,,611,4,383,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
543222,39394,78506,52.23,11,15893,86,22,,583,3,1289,738,C-Very Low Risk,24,3,0,78398,135700,135700,40414,0,1,0,1,1
598616,58259,82422,71.58,11,23964,51,21,,558,3,1289,825,A-Very Low Risk,19,2,0,142036,157400,157400,63364,0,2,0,3,1
608894,49803,107000,47.66,248,20673,49,21,,557,4,1451,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
636480,88849,126349,72.26,29,15406,48,21,,551,3,1378,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
574219,97390,134440,74.31,29,15406,48,19,,567,3,1378,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
641657,97390,133500,74.83,29,15406,48,35,,550,3,1378,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
594663,67669,77472,89.06,104,21013,86,19,,559,10,1147,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,1,1
465003,40094,62355,66.88,104,21013,86,21,,616,10,1147,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,1,1
647774,51458,65000,83.08,74,16633,45,20,,549,4,1511,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
601896,46845,63194,77.06,74,16633,45,21,,558,4,425,825,A-Very Low Risk,1,0,0,0,0,0,1905,0,0,1,0,1
508012,48556,59386,85,74,16633,45,19,,595,4,425,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
557969,54809,83277,67.25,13,23465,51,21,,753,8,1787,300,M-Very High Risk,12,2,1,46328,56000,56000,5777,0,1,0,1,1
